(element_reset_domain_rockettile)_glue_logic_1   (element_reset_domain_rockettile)_glue_logic_1   2310
element_reset_domain_rockettile/dcache_data_rockettile_dcache_data_arrays_0_rockettile_dcache_data_arrays_0_ext_mem_0_0   NONE   11.75
element_reset_domain_rockettile/dcache_data_rockettile_dcache_data_arrays_0_rockettile_dcache_data_arrays_0_ext_mem_0_0   (root)_glue_logic   37.0625
element_reset_domain_rockettile/dcache_data_rockettile_dcache_data_arrays_0_rockettile_dcache_data_arrays_0_ext_mem_0_0   (element_reset_domain_rockettile)_glue_logic_0_0_0   21.0625
element_reset_domain_rockettile/dcache_data_rockettile_dcache_data_arrays_0_rockettile_dcache_data_arrays_0_ext_mem_0_0   element_reset_domain_rockettile/fpuOpt/fpiu   11.9375
element_reset_domain_rockettile/dcache_data_rockettile_dcache_data_arrays_0_rockettile_dcache_data_arrays_0_ext_mem_0_0   element_reset_domain_rockettile/fpuOpt/fpmu   2.625
element_reset_domain_rockettile/dcache_data_rockettile_dcache_data_arrays_0_rockettile_dcache_data_arrays_0_ext_mem_0_0   element_reset_domain_rockettile/fpuOpt/ifpu   16
element_reset_domain_rockettile/dcache_data_rockettile_dcache_data_arrays_0_rockettile_dcache_data_arrays_0_ext_mem_0_0   (element_reset_domain_rockettile/fpuOpt)_glue_logic||element_reset_domain_rockettile/fpuOpt/hfma_fma_mulAddRecFNToRaw_postMul   17.9375
element_reset_domain_rockettile/dcache_data_rockettile_dcache_data_arrays_0_rockettile_dcache_data_arrays_0_ext_mem_0_0   (element_reset_domain_rockettile)_glue_logic_0_1_0_0_0_0_0   95.4375
element_reset_domain_rockettile/dcache_data_rockettile_dcache_data_arrays_0_rockettile_dcache_data_arrays_0_ext_mem_0_0   (element_reset_domain_rockettile)_glue_logic_0_0_1   14.3125
element_reset_domain_rockettile/dcache_data_rockettile_dcache_data_arrays_0_rockettile_dcache_data_arrays_0_ext_mem_0_0   (element_reset_domain_rockettile)_glue_logic_0_1_1_0_0_0   9.6875
